Strand	Start	End	Upstream Gene
+	5044	5073	thrC
-	5583	5612	yaaA
+	9190	9219	talB
-	9914	9943	yaaW
-	16572	16601	mokC
+	18686	18715	nhaA
-	20760	20789	rpsT
+	25747	25776	lspA
+	27245	27274	ispH
+	34074	34103	carB
+	34818	34847	caiF
+	50340	50369	folA
-	50338	50367	apaH
-	59625	59654	rluA
+	77580	77609	sgrT
-	78819	78848	leuD
-	83581	83610	leuL
+	87859	87888	ilvH
+	107526	107555	lpxC
+	111003	111032	secA
-	111592	111621	yacG
+	114490	114519	guaC
+	127584	127613	aceF
+	129352	129381	lpd
+	134258	134287	acnB
+	134754	134783	yacL
+	138644	138673	cueO
-	138649	138678	gcd
+	138740	138769	cueO
-	138780	138809	gcd
+	141970	141999	hpt
-	141980	142009	can
-	147921	147950	panC
-	157231	157260	folK
+	169729	169758	fhuA
+	176971	177000	erpA
-	176970	176999	yadS
+	182322	182351	degP
-	185072	185101	dapD
-	188695	188724	map
+	191705	191734	tsf
+	193411	193440	frr
+	209590	209619	accA
+	212267	212296	yaeR
-	217019	217048	proS
-	220060	220089	metQ
+	225592	225621	alaV
+	229018	229047	aspU
-	232543	232572	mltD
+	237041	237070	aspV
-	254226	254255	pepD
+	256436	256465	gpt
+	258243	258272	crl
+	302852	302881	yagU
+	316770	316799	ykgQ
+	323778	323807	ykgG
+	330728	330757	betT
+	362428	362457	cynX
-	399022	399051	ddlA
+	410300	410329	mak
+	421608	421637	proY
+	429731	429760	secF
+	430312	430341	yajD
-	430325	430354	tsx
+	434790	434819	nusB
+	442225	442254	thiI
-	442232	442261	yajL
-	446005	446034	cyoE
+	454078	454107	bolA
+	455701	455730	tig
+	457959	457988	clpX
+	460507	460536	lon
+	463046	463075	ppiD
-	473498	473527	tesB
+	475175	475204	ybaY
-	480437	480466	acrB
-	489119	489148	ybaM
+	496215	496244	htpG
+	497137	497166	adk
+	516586	516615	ybbM
-	516595	516624	ybbN
+	539731	539760	allB
-	542434	542463	ylbA
+	555221	555250	cysS
-	555847	555876	ybcJ
+	602597	602626	pheP
+	638881	638910	ahpC
+	640564	640593	ahpF
+	642706	642735	ybdR
-	642731	642760	rnk
-	656748	656777	crcB
+	656752	656781	cspE
+	658406	658435	tatE
-	658426	658455	lipA
-	682641	682670	rihA
+	695614	695643	ubiF
-	695624	695653	glnX
-	709382	709411	fur
+	714427	714456	pgm
-	720244	720273	kdpE
+	728579	728608	ybfA
-	740270	740299	dtpD
+	773837	773866	ybgE
+	781023	781052	lysQ
-	784100	784129	ybgS
-	786008	786037	gpmA
+	786015	786044	aroG
+	794138	794167	ybhT
-	806617	806646	ybhB
-	814868	814897	ybhK
+	819840	819869	ybhL
-	831592	831621	ybiA
+	835436	835465	ybiB
-	836670	836699	ybiJ
+	836813	836842	ybiC
-	840971	841000	mcbA
+	850195	850224	ompX
+	853990	854019	ybiR
-	853992	854021	ybiS
+	875893	875922	yliF
-	875901	875930	rimO
+	877852	877881	bssR
+	881154	881183	dacC
-	881171	881200	deoR
-	884123	884152	ybjH
-	889675	889704	grxA
+	889700	889729	ybjM
+	892657	892686	ybjN
-	903102	903131	ybjP
-	914539	914568	aqpZ
-	921534	921563	cspD
+	924798	924827	clpA
-	925082	925111	serW
-	930245	930274	trxB
+	939956	939985	serS
+	944112	944141	dmsC
+	946249	946278	ycaD
